input_Timepoint (hr),output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
8.5,16.906333333333322,57.01,1185.16,100.0,47.72,5.0,0.0,6.7,0.0,0.0,30.03,0.6967999999999998,-0.005613299999999998,5.862199999999997,22.5722
8.6,13.923133333333347,54.255,1184.47,100.0,45.71,5.0,0.0,6.7,0.0,0.0,30.02,0.8741999999999998,-0.0003836999999999982,12.954900000000007,25.046900000000004
8.75,16.5,51.9999999999999,1185.19,100.0,54.68,5.01,0.0,6.76,0.0,0.0,30.0,1.0336000000000003,-0.006015999999999996,15.006100000000004,18.54229999999999
10.0,23.1,65.5,1185.14,100.0,57.49,5.0,0.0,6.76,8.89,0.30226,29.98,0.0,0.0,0.33,10.67
12.0,34.4,91.5,1184.33,100.0,43.08,5.0,0.0,6.71,13.21,0.44914,29.97,0.0,0.0,0.46,10.54
14.0,44.0,122.0,1185.06,95.3,39.59,4.99,4.7,6.7,19.78,0.67252,30.03,0.0,0.70433,1.34,7.54
16.0,49.8,145.0,1185.32,95.74,50.73,4.99,4.25,6.8,17.9,0.6086,29.91,0.01,3.18216,1.87,6.35
18.0,59.3,177.0,1184.86,96.34,38.95,4.99,3.66,6.73,17.9,0.6086,30.0,0.0,0.0,0.75,2.32
20.0,66.6,191.5,1184.9,95.84,40.18,5.0,4.16,6.82,17.9,0.6086,30.02,0.0,0.0,1.45,0.0
22.0,73.4,211.0,1184.43,93.35,40.71,4.98,6.63,6.71,17.9,0.6086,29.99,0.01,0.0,1.03,0.0
24.0,80.0,212.0,1185.56,93.91,40.35,5.0,6.09,6.74,17.9,0.6086,30.04,0.01,1.02133,2.0,0.0
28.0,84.2,214.0,1184.82,93.35,40.72,5.0,6.65,6.71,17.9,0.6086,30.0,0.01,4.29759,2.89,0.0
32.0,96.4,216.5,1184.88,94.15,39.49,5.0,5.85,6.72,12.53,0.42602,30.0,0.01,5.4049,1.79,0.0
36.0,95.0,217.0,1185.06,100.0,40.73,5.01,0.0,6.78,8.8,0.2992,30.03,0.01,0.0,1.04,0.0
40.0,95.0,204.0,1184.9,100.0,41.59,5.0,0.0,6.71,8.8,0.2992,30.01,0.01,0.0,0.67,0.0
44.0,97.4,201.0,1185.44,100.0,40.34,5.0,0.0,6.71,8.8,0.2992,30.01,0.01,0.0,0.53,0.0
48.0,100.0,205.5,1185.09,100.0,41.04,4.97,0.0,6.71,8.8,0.2992,30.0,0.01,0.0,0.57,0.0
0.0,0.363,62.775,1184.84,100.0,98.53,5.0,0.0,6.71,0.0,0.0,30.09,1.08,0.24,1.32,16.72
2.0,0.582,58.400000000000006,1184.79,100.0,96.29,5.0,0.0,6.82,0.0,0.0,29.98,4.511300000000003,0.2477015999999996,4.522100000000002,20.610200000000006
4.0,1.79,57.28,1184.84,100.0,90.76,5.0,0.0,6.85,0.0,0.0,30.0,4.694500000000002,0.00038999999999999994,7.574800000000002,21.282500000000013
6.0,4.64,59.295,1184.68,100.0,77.19,5.0,0.0,6.76,0.0,0.0,30.0,4.7056000000000004,-0.0037079999999999995,6.782400000000003,21.69160000000001
8.0,11.18,58.42500000000001,1184.96,100.0,58.08,5.0,0.0,6.71,0.0,0.0,30.0,0.0,0.0,13.02,11.01
8.5,14.36680000000001,50.795,1184.77,100.0,50.48,5.0,0.0,6.7,0.0,0.0,30.0,1.235,-0.0003325,15.097700000000009,24.388999999999996
8.6,16.5,48.9999999999999,1184.61,100.0,49.44,5.0,0.0,6.7,0.0,0.0,30.04,1.1203000000000005,-0.0028002999999999978,15.594200000000006,22.23439999999999
8.75,17.032733333333326,49.0,1185.14,100.0,56.85,5.0,0.0,6.84,7.06,0.24004,29.94,0.29800000000000015,1.1945997,17.983499999999992,18.413899999999998
10.0,23.7,65.5,1184.58,100.0,63.91,5.0,0.0,6.75,9.06,0.30804,30.0,0.0,0.0,0.3,9.95
12.0,36.0,95.0,1185.07,100.0,46.09,5.0,0.0,6.71,13.47,0.45798,30.01,0.0,0.0,0.33,8.76
14.0,44.7,125.0,1184.56,94.78,39.11,4.92,5.22,6.74,20.15,0.6851,29.95,0.01,1.01008,1.33,7.78
16.0,50.8,152.0,1184.77,84.26,30.71,5.08,15.74,6.71,17.9,0.6086,30.12,0.01,2.90143,2.4,5.31
18.0,60.8,179.5,1184.85,95.78,39.06,4.89,4.02,6.72,17.9,0.6086,30.0,0.0,0.0,0.65,1.16
20.0,67.6,193.5,1185.56,93.61,40.43,5.04,6.39,6.72,17.9,0.6086,29.99,0.0,0.0,0.45,0.0
22.0,77.6,208.0,1185.27,91.34,40.94,5.21,8.66,6.7,17.9,0.6086,30.0,0.0,0.0,0.81,0.0
24.0,81.4,208.5,1185.13,92.62,39.54,5.3,7.38,6.76,17.9,0.6086,29.98,0.01,0.0,1.72,0.0
28.0,86.8,213.5,1185.07,89.96,40.31,5.0,10.04,6.7,17.9,0.6086,29.98,0.01,1.16514,3.22,0.0
32.0,98.4,214.5,1185.48,91.99,40.4,5.22,8.01,6.74,17.9,0.6086,29.98,0.0,5.11541,1.66,0.0
36.0,94.0,219.0,1184.78,95.45,40.26,5.0,4.55,6.7,12.5,0.425,30.01,0.01,1.96607,2.15,0.0
40.0,97.6,204.0,1184.98,97.35,39.78,5.0,2.63,6.73,12.5,0.425,29.93,0.01,0.0,1.38,0.0
44.0,99.6,202.0,1184.78,99.1,40.51,5.0,0.9,6.73,12.5,0.425,30.02,0.0,0.0,0.66,0.0
48.0,103.2,204.0,1185.3,99.35,40.25,5.0,0.65,6.74,12.5,0.425,29.97,0.02,0.0,0.67,0.0
0.0,0.233,60.365,1185.15600585937,100.0,97.1348266601562,5.00000095367432,0.0,6.39840602874756,0.0,0.0,30.08,4.566600000000003,1.3258887999999993,2.2662000000000013,25.41069999999999
2.0,0.412,55.105,1184.75402832031,100.0,84.0090866088867,5.00000095367432,0.0,6.38707113265991,0.0,0.0,30.01,4.1359,0.1461860000000001,9.140999999999998,29.86950000000002
4.0,1.35,56.725,1185.18200683594,100.0,78.1165466308594,5.00000095367432,0.0,6.39428377151489,0.0,0.0,30.01,4.557000000000001,6.009999999999946e-05,8.685500000000001,24.89000000000002
6.0,3.59,59.1,1185.13000488281,100.0,70.3319320678711,5.00000095367432,0.0,6.2537989616394,0.0,0.0,30.01,5.026600000000001,0.04441540000000001,7.331100000000003,26.218100000000018
8.0,7.82,55.55,1185.125,100.0,58.1576385498047,5.00000095367432,0.0,6.21498489379883,0.0,0.0,30.01,4.990700000000001,0.1475877,11.494500000000006,31.15920000000002
9.75,15.2,47.9999999999999,1185.083984375,100.0,48.9890785217285,5.00000095367432,0.0,6.39943599700928,0.0,0.0,30.0,1.2685000000000004,0.0,10.57,27.43
12.0,26.9,75.0,1184.81994628906,100.0,47.3240394592285,5.00000095367432,0.0,6.26925611495972,10.9,0.3706,30.0,0.0002,0.0,0.5,23.86
14.0,38.1,105.5,1184.84802246094,98.0302581787109,39.3772315979004,4.99994993209839,1.97052001953125,6.22357177734375,16.39,0.55726,30.01,0.0002,0.0,0.52,17.69
16.0,43.5,135.5,1184.92602539062,87.7060089111328,31.7656002044678,5.05999898910522,12.3064498901367,6.30085706710815,24.37,0.82858,30.06,0.007300000000000004,4.83577,2.51,14.0
18.0,51.6,175.5,1184.87805175781,90.7597732543945,42.0261688232422,5.03999996185303,9.23785781860352,6.22975492477417,17.9,0.6086,29.98,0.0035000000000000014,0.0,3.77,5.83
20.0,60.3,189.5,1184.98400878906,93.9065093994141,37.5608215332031,5.02557706832886,6.11059617996216,6.34379196166992,17.9,0.6086,30.02,0.0024000000000000007,0.0,0.82,0.01
22.0,69.0,203.5,1185.15698242187,88.3426818847656,39.4745407104492,5.04087591171265,11.6536502838135,6.27853012084961,17.9,0.6086,30.0,0.0025000000000000005,0.0,1.09,0.08
24.0,80.2,206.5,1184.98596191406,89.2131881713867,39.571849822998,5.03999996185303,10.7874097824097,6.25311183929443,17.9,0.6086,30.0,0.022099999999999956,2.07337,1.74,0.0
28.0,86.4,198.0,1185.91003417969,93.9722518920898,39.7232093811035,5.00017213821411,6.02917909622192,6.19678020477295,17.9,0.6086,26.0,0.17140000000000005,14.51172,1.25,0.01
32.0,90.8,193.5,1186.30798339844,92.9405670166016,40.1448783874512,5.0837869644165,7.0597882270813,6.223228931427,12.5,0.425,25.99,0.0181,16.29574,1.62,0.0
36.0,88.8,190.0,1184.81896972656,93.405158996582,40.0583801269531,4.9842209815979,6.5947527885437,6.25585985183716,12.5,0.425,26.01,0.02199999999999996,18.36344,2.61,0.04
40.0,92.8,179.0,1185.16796875,94.7373275756836,40.3935585021973,4.94687795639038,5.26217985153198,6.24211978912354,8.75,0.2975,25.99,0.021499999999999974,17.85282,2.24,0.02
44.0,93.6,184.0,1184.97900390625,98.0489883422852,40.609790802002,4.98027801513672,1.94754004478455,6.23112916946411,6.12,0.20808,26.0,0.021999999999999974,11.57407,3.69,0.01
48.0,97.0,186.0,1184.60705566406,99.7067413330078,39.8529586791992,4.99999904632568,0.293384611606598,6.23353290557861,4.27,0.14518,26.0,0.021899999999999965,4.37495,5.26,0.0
0.0,0.232,59.63,1185.23901367187,100.0,96.3794174194336,5.00000095367432,0.0,6.3892560005188,0.0,0.0,30.13,5.002000000000003,1.1855478999999998,2.3030000000000026,25.685399999999994
2.0,0.395,55.005,1184.82897949219,100.0,82.7650375366211,5.00000095367432,0.0,6.39635419845581,0.0,0.0,30.01,4.1286000000000005,0.1470237000000001,8.974399999999997,29.383600000000023
4.0,1.41,55.15,1184.77197265625,100.0,75.5858688354492,5.00000095367432,0.0,6.37979316711426,0.0,0.0,30.01,4.2499,-0.00029090000000000046,9.0295,29.025800000000014
6.0,3.6,60.765,1185.57397460937,100.0,65.8152465820312,5.00000286102295,0.0,6.22397899627686,0.0,0.0,30.04,5.142700000000001,0.13926049999999995,5.998000000000001,25.932000000000002
8.0,7.86,55.69000000000001,1185.43395996094,100.0,57.9045295715332,5.00000095367432,0.0,6.23411893844604,0.0,0.0,30.01,5.327100000000002,0.1448793,11.881000000000006,31.042100000000033
9.75,14.5,52.9999999999999,1184.78100585937,100.0,48.1339111328125,5.00000095367432,0.0,6.40176200866699,0.0,0.0,30.0,1.2870000000000001,0.0,9.7,26.21
12.0,26.9,73.5,1185.11401367187,100.0,47.4271507263184,5.00000095367432,0.0,6.24527311325073,10.89,0.37026,29.99,0.0003,0.0,0.41,22.67
14.0,38.8,106.0,1184.69799804687,97.7331314086914,38.4748916625977,5.14706516265869,2.27745389938354,6.22093677520752,16.39,0.55726,30.01,0.020999999999999987,0.0,0.48,18.34
16.0,41.9,133.0,1185.02905273437,91.3020629882812,34.4699287414551,4.91948080062866,8.70479965209961,6.22871112823486,24.37,0.82858,30.04,0.021199999999999976,4.16566,2.31,13.68
18.0,52.2,166.5,1185.22094726562,93.2139892578125,43.5833892822266,5.01999998092651,6.78121900558472,6.1851110458374,17.9,0.6086,29.97,0.12829999999999997,0.0,1.7,5.97
20.0,58.1,181.0,1184.88000488281,96.0534286499023,40.9299392700195,5.00368690490723,3.94533205032349,6.25980615615845,17.9,0.6086,30.01,0.0004,0.0,0.78,0.48
22.0,68.7,198.5,1185.3310546875,91.2608337402344,38.6608810424805,5.02111482620239,8.74093627929687,6.31320905685425,17.9,0.6086,30.04,0.002300000000000001,0.0,0.54,0.0
24.0,80.8,203.5,1184.68798828125,91.0148010253906,40.5207710266113,5.00000095367432,8.98516845703125,6.23851299285889,17.9,0.6086,30.02,0.020899999999999985,0.46271,1.6,0.0
28.0,85.4,199.5,1185.16198730469,94.5665588378906,40.1115989685059,5.00656318664551,5.43330383300781,6.25034189224243,17.9,0.6086,26.01,0.02079999999999999,10.6663,1.14,0.01
32.0,88.8,193.5,1184.6669921875,93.6624069213867,39.752010345459,5.006591796875,6.33790588378906,6.25913000106812,12.5,0.425,25.98,0.021799999999999965,11.42278,1.63,0.0
36.0,85.2,186.0,1184.98706054687,94.2826995849609,39.925609588623,4.99499893188477,5.71740293502808,6.2273588180542,12.5,0.425,25.98,0.021899999999999965,11.97122,2.96,0.08
40.0,90.0,180.0,1185.10595703125,95.8346710205078,40.1983909606934,4.99999094009399,4.16693878173828,6.21552896499634,8.75,0.2975,25.98,0.059199999999999975,11.42278,2.55,0.0
44.0,91.0,183.5,1185.13696289062,98.8924865722656,40.5207710266113,4.99999904632568,1.10623204708099,6.21992301940918,6.1,0.2074,26.0,0.040599999999999976,5.72589,5.77,0.0
48.0,82.0,188.0,1184.45397949219,97.7440872192383,38.6112785339355,4.98000001907349,2.25950598716736,6.27873420715332,4.27,0.14518,26.0,0.0198,0.31961,5.38,0.26
0.0,0.245,58.78,1184.07604980469,100.0,98.7794799804687,5.00000095367432,0.0,6.39339876174927,0.0,0.0,30.07,4.166300000000001,0.7017192999999996,3.5456,26.810799999999986
2.0,0.415,57.675,1184.84899902344,100.0,96.3833770751953,5.00000095367432,0.0,6.39095401763916,0.0,0.0,30.02,3.536400000000002,0.1531097000000001,5.481700000000001,24.093900000000005
4.0,1.39,55.175,1184.53295898437,100.0,93.8000717163086,5.00000095367432,0.0,6.38397121429443,0.0,0.0,30.02,4.272400000000002,0.0034364000000000005,8.899400000000002,28.523600000000016
6.0,3.63,59.745,1184.98596191406,100.0,82.6806411743164,5.00000095367432,0.0,6.25581312179565,0.0,0.0,30.01,4.221400000000001,0.04741390000000001,6.997000000000002,26.051500000000015
8.0,7.7,61.82,1185.15295410156,100.0,65.1141891479492,5.00000095367432,0.0,6.21146392822266,0.0,0.0,30.01,4.989599999999999,0.14251839999999996,6.664200000000001,25.782500000000013
9.75,14.8,48.0,1185.17297363281,100.0,49.2474708557129,5.00000095367432,0.0,6.39130401611328,0.0,0.0,29.99,1.2830000000000004,0.0,11.0,27.43
12.0,27.8,75.5,1185.03100585937,100.0,45.1815795898438,5.00000095367432,0.0,6.20517921447754,10.89,0.37026,29.99,0.08419999999999998,0.0,0.39,23.43
14.0,39.3,108.5,1184.91394042969,98.2327194213867,44.7098503112793,5.00000095367432,1.76140201091766,6.21076583862305,16.39,0.55726,29.99,0.038599999999999995,0.0,0.63,17.21
